TYPE,DYN_MassInHalfRad,DM_MassInHalfRad,R_eff,Mass,VelDisp,mangaid
LTGs,10.712,10.581398187478776,0.8872238177710741,10.42752920126964,2.0277572046905536,1-245980
LTGs,10.769,10.559557369644022,0.753737235574876,10.652789896503778,2.072249897613515,1-24603
LTGs,11.087,10.839576574991664,0.9691357652201916,11.02583233412673,2.010723865391773,1-246036
LTGs,10.097,10.045606850764637,0.6747686109586526,9.445707715932778,1.8095597146352678,1-2461
LTGs,10.529,10.365034933357224,0.531478727807288,10.327590755206064,2.0773679052841563,1-246108
LTGs,10.215,10.106933419506763,0.45818546073172906,9.859023662589136,1.973589623427257,1-246175
LTGs,9.969,9.829831238070494,0.7116372346244567,9.708059660414884,1.7520484478194385,1-246196
LTGs,10.523,10.307721480339083,0.5758807139191396,10.416044426244753,2.0707764628434346,1-246437
LTGs,11.155,11.026939108905527,0.9523565208052165,10.863204013810357,2.2286569581089353,1-24652
LTGs,10.82,10.531972306895225,0.7692296840452311,10.806596376694753,2.028977705208778,1-246549
LTGs,10.821,10.65982061967553,0.9174516220690163,10.613455053871245,2.068556895072363,1-246570
LTGs,11.114,10.78737867837168,0.9659064050277312,11.138166874572388,2.1883659260631485,1-24660
LTGs,10.408,10.262950533885524,0.7288424478836419,10.162253749885105,1.943988875073772,1-246614
LTGs,10.779,10.428098369079457,0.6697810373553832,10.823730053829781,2.1702617153949575,1-246760
LTGs,10.848,10.625474086160176,0.8494202164214326,10.752103757708065,2.0877814178095426,1-246857
LTGs,10.178,10.098690197532775,0.6681071943036577,9.701520957183309,1.8280150642239767,1-246928
LTGs,10.389,10.306789533705675,0.7308648485302063,9.926715792599357,1.931457870689005,1-246944
LTGs,10.042,9.588510414797568,0.5776051916043519,10.154622518332717,1.8530895298518655,1-246946
LTGs,10.318,10.012795980469644,0.6766005477245889,10.322134288727865,1.9273703630390235,1-246947
LTGs,11.075,10.664121590530472,0.9181867627027661,11.162597546969625,2.2113875529368587,1-247082
LTGs,10.356,9.54607753452773,0.4413803360850386,10.583933310206497,2.0726174765452368,1-247223
LTGs,11.264,10.947994443822576,0.9288560687211824,11.278476332527193,2.2523675144598987,1-247247
LTGs,10.954,10.825285473284774,0.9476304603997938,10.664104319751512,2.0546130545568877,1-247320
LTGs,10.933,10.508156226848964,0.6788817009215647,11.029233636154267,2.229425847920695,1-247329
LTGs,9.936,9.736196848991947,0.45469292006186424,9.803769800058781,1.7817553746524688,1-247331
LTGs,11.142,10.972293062093447,0.8968008070650589,10.952851450031611,2.241048150671644,1-247377
LTGs,10.738,10.515832063639689,0.7661895550656375,10.641568327686356,2.0989896394011773,1-247417
LTGs,9.986,9.777994175408756,0.4080709667547287,9.867461387799567,1.8970770032094204,1-247424
LTGs,11.105,10.602536553421164,0.8963606527816995,11.242076031843025,2.111262513659065,1-247456
LTGs,10.085,9.995707024565158,0.538698618777455,9.655181182731125,1.8401060944567578,1-247601
LTGs,11.025,10.7664882610632,0.934144759936651,10.977862837437593,2.158060793936605,1-247614
LTGs,10.182,10.134522210075358,0.6520531122362474,9.498213526955613,1.890979596989689,1-247634
LTGs,11.25,11.10273864458957,0.8635602422432445,11.009782378845339,2.329397879361043,1-247661
LTGs,10.607,9.848989274887064,0.5175922441008014,10.82470608615999,2.0257153839013404,1-247675
